"scenario","n","method","quantity","time","n_success","bias","mse","rmse","se"
"S2_Weibull_challenging",20,"AIC_MA","hazard",150,30,-6.51704604896264e-05,4.88797477191819e-07,0.000699140527499171,0.000707996411644464
"S2_Weibull_challenging",20,"AIC_MA","hazard",200,30,-4.1750717940904e-05,4.47964750272024e-07,0.000669301688532177,0.000679417824690381
"S2_Weibull_challenging",20,"AIC_MA","mean",NA,30,2925.67217632341,236337670.868264,15373.2778179627,15350.3267353169
"S2_Weibull_challenging",20,"AIC_MA","probability",NA,30,-0.165945379989264,0.181674748577861,0.426233209144784,0.399314342650361
"S2_Weibull_challenging",20,"Best_AIC","hazard",150,30,-7.22471732113966e-05,5.9287434094876e-07,0.000769983338098143,0.000779691375887162
"S2_Weibull_challenging",20,"Best_AIC","hazard",200,30,-3.24844515112558e-05,5.36844617604522e-07,0.000732696811515187,0.000744489673405978
"S2_Weibull_challenging",20,"Best_AIC","mean",NA,30,54.1907542831045,24031.0032818046,155.019364215586,147.721891889734
"S2_Weibull_challenging",20,"Best_AIC","probability",NA,30,-0.173102731529446,0.198959581449362,0.446048855451241,0.418117735175987
"S2_Weibull_challenging",20,"Generating","hazard",150,30,-0.000131116343710287,3.69995759200067e-07,0.000608272767103762,0.00060412741029902
"S2_Weibull_challenging",20,"Generating","hazard",200,30,-9.4221054874891e-05,3.37794011768385e-07,0.000581200491885876,0.000583316680348157
"S2_Weibull_challenging",20,"Generating","mean",NA,30,54.0480728480084,20995.9993118256,144.899963118786,136.740901985352
"S2_Weibull_challenging",20,"Generating","probability",NA,30,-0.179284110022774,0.16987652682792,0.412160802148772,0.377469434324928
"S2_Weibull_challenging",50,"AIC_MA","hazard",150,30,2.10031355538604e-05,2.13273231620292e-07,0.000461815148755746,0.000469223974073552
"S2_Weibull_challenging",50,"AIC_MA","hazard",200,30,3.89326074976273e-05,1.84431806220641e-07,0.000429455243559374,0.000434998285720851
"S2_Weibull_challenging",50,"AIC_MA","mean",NA,30,71.8416395392252,27154.6402829608,164.786650803276,150.837040788179
"S2_Weibull_challenging",50,"AIC_MA","probability",NA,30,-0.0990755233092541,0.0781213875975139,0.279502035050756,0.265820969591043
"S2_Weibull_challenging",50,"Best_AIC","hazard",150,30,2.02353232284836e-05,2.10798184905401e-07,0.00045912763465664,0.000466522775360698
"S2_Weibull_challenging",50,"Best_AIC","hazard",200,30,3.95125048036406e-05,1.80088554778244e-07,0.000424368418686221,0.000429748101930437
"S2_Weibull_challenging",50,"Best_AIC","mean",NA,30,1.56616145986342,5758.09502509233,75.8821126820566,77.1628964127233
"S2_Weibull_challenging",50,"Best_AIC","probability",NA,30,-0.0896975634815021,0.0749487832699824,0.273767754255286,0.263078191553709
"S2_Weibull_challenging",50,"Generating","hazard",150,30,4.64715950740065e-05,1.95807688755289e-07,0.000442501625709205,0.000447577478871536
"S2_Weibull_challenging",50,"Generating","hazard",200,30,6.1099898784205e-05,1.72900666356584e-07,0.000415813258995651,0.000418331004965765
"S2_Weibull_challenging",50,"Generating","mean",NA,30,1.28380247077078,5815.98347032189,76.2625954863974,77.5553327822805
"S2_Weibull_challenging",50,"Generating","probability",NA,30,-0.0818839313858075,0.0712216006049849,0.266873754057953,0.258343440989975
"S2_Weibull_challenging",100,"AIC_MA","hazard",150,30,-0.000136099681956394,8.23554479095046e-08,0.000286976389115036,0.000256969724127463
"S2_Weibull_challenging",100,"AIC_MA","hazard",200,30,-0.000104401936530435,6.7114606332827e-08,0.00025906486896688,0.000241149921850435
"S2_Weibull_challenging",100,"AIC_MA","mean",NA,30,41.4729874077136,11104.6361888629,105.378537610193,98.5303777995389
"S2_Weibull_challenging",100,"AIC_MA","probability",NA,30,-0.158238839994148,0.0483338598431753,0.219849630072864,0.155233959226228
"S2_Weibull_challenging",100,"Best_AIC","hazard",150,30,-0.000106888906630092,7.81546221398054e-08,0.000279561481860083,0.000262736364085742
