"scenario","n","method","quantity","time","n_success","n_ci_success","bias","mse","rmse","se","coverage","avg_ci_width"
"S1_Gamma_well_specified",100,"Generating","mean",NA,20,20,2.3185842478634,351.082177561446,18.7371870237089,19.0762002353168,0.85,69.9672712044635
"S1_Gamma_well_specified",100,"Generating","probability",NA,20,20,-0.249142159301877,0.0883353105217119,0.297212567906729,0.166270214378853,0.7,0.619851968256619
"S2_Weibull_challenging",50,"AIC_MA","hazard",150,20,20,7.24930163917552e-05,2.05907876530521e-07,0.000453770731240481,0.000459579486401423,1,0.00195712167001446
"S2_Weibull_challenging",50,"AIC_MA","hazard",200,20,20,6.31598046095392e-05,1.84492595393374e-07,0.000429526012475815,0.000435894041295478,1,0.00177765194870526
"S2_Weibull_challenging",50,"AIC_MA","mean",NA,20,20,58.1081739391069,37496.8322205392,193.640987966234,189.515371802594,1,15932.6277475725
"S2_Weibull_challenging",50,"AIC_MA","probability",NA,20,20,-0.038234686721169,0.0670729795454454,0.258984516034155,0.262800881751263,1,1.02598475689507
"S2_Weibull_challenging",50,"Best_AIC","hazard",150,20,20,9.17582075973901e-05,2.28461698982383e-07,0.000477976672006472,0.000481272578768652,1,0.00165834320534004
"S2_Weibull_challenging",50,"Best_AIC","hazard",200,20,20,8.43774685008851e-05,1.98885980892122e-07,0.000445966345021821,0.00044928765103217,0.95,0.00158904453841573
"S2_Weibull_challenging",50,"Best_AIC","mean",NA,20,20,12.1190495281246,11080.5438317321,105.264162143306,107.280608294652,0.95,402.594019825363
"S2_Weibull_challenging",50,"Best_AIC","probability",NA,20,20,-0.0301277653166506,0.0690879512279617,0.262845869718285,0.267896816320617,1,0.891894149795553
"S2_Weibull_challenging",50,"Generating","hazard",150,20,20,9.42036469320427e-05,2.17448445782551e-07,0.000466313677456014,0.000468563447017926,1,0.00174024089789944
"S2_Weibull_challenging",50,"Generating","hazard",200,20,20,8.79017805231567e-05,1.8970271787645e-07,0.000435548754878774,0.000437668457621939,0.95,0.00165080792385624
"S2_Weibull_challenging",50,"Generating","mean",NA,20,20,-1.63651372585187,7051.07634066044,83.9706873894721,86.1357445424344,1,358.721248978044
"S2_Weibull_challenging",50,"Generating","probability",NA,20,20,-0.0294243234674234,0.0682115090227977,0.261173331377455,0.266252191908511,1,0.963319106603074
"S2_Weibull_challenging",100,"AIC_MA","hazard",150,18,18,-7.2134518456363e-05,1.52595181530178e-07,0.000390634332247151,0.000395046703865165,0.888888888888889,0.0012527328543917
"S2_Weibull_challenging",100,"AIC_MA","hazard",200,18,18,-7.28097557502995e-05,1.20695070637003e-07,0.000347411960987246,0.000349544963183863,0.888888888888889,0.00111585756080697
"S2_Weibull_challenging",100,"AIC_MA","mean",NA,18,18,130.263220188348,94713.7814276214,307.756042065174,286.912053351064,0.944444444444444,6172.11643202312
"S2_Weibull_challenging",100,"AIC_MA","probability",NA,18,18,-0.128287799974361,0.049354934743549,0.222159705490327,0.186634142293414,0.833333333333333,0.687286497097656
"S2_Weibull_challenging",100,"Best_AIC","hazard",150,18,18,-4.42722783083877e-05,1.93346391259461e-07,0.000439711713807423,0.000450160390984423,0.777777777777778,0.00106445463765809
"S2_Weibull_challenging",100,"Best_AIC","hazard",200,18,18,-4.9557957554303e-05,1.4319524072763e-07,0.000378411470132222,0.000386028533863996,0.777777777777778,0.000993413806440557
"S2_Weibull_challenging",100,"Best_AIC","mean",NA,18,18,156.184670611408,176949.36667727,420.653499542403,401.907428336059,0.833333333333333,6144.58117307399
"S2_Weibull_challenging",100,"Best_AIC","probability",NA,18,18,-0.120942483601267,0.052701185320616,0.229567387319314,0.200782852803356,0.777777777777778,0.629874456878868
"S2_Weibull_challenging",100,"Generating","hazard",150,18,18,-8.30149092979864e-05,1.12134059144637e-07,0.00033486423987138,0.000333816303096383,0.777777777777778,0.00100585162526125
"S2_Weibull_challenging",100,"Generating","hazard",200,18,18,-7.78898728139487e-05,1.00216789985385e-07,0.000316570355506299,0.000315734366998907,0.777777777777778,0.000944835002989679
"S2_Weibull_challenging",100,"Generating","mean",NA,18,18,26.4711438232252,4541.57671000531,67.391221312611,63.7713722350111,0.777777777777778,227.9268548116
"S2_Weibull_challenging",100,"Generating","probability",NA,18,18,-0.125713507658656,0.0442446252115135,0.210344063884659,0.1735330627365,0.777777777777778,0.604965862615324
"S3_Mixture_misspecified",50,"AIC_MA","hazard",150,20,20,0.000203251752046371,2.42220408989945e-07,0.00049215892655721,0.000459873133855559,0.95,0.00215978770933473
"S3_Mixture_misspecified",50,"AIC_MA","hazard",200,20,20,-0.000173927970736116,3.57109173896917e-07,0.000597586122577255,0.000586567387336594,0.9,0.00219768812780159
"S3_Mixture_misspecified",50,"AIC_MA","mean",NA,20,20,7.72681079612365,5132.6122612069,71.6422519272454,73.0746457299355,0.9,347.013713132683
"S3_Mixture_misspecified",50,"AIC_MA","probability",NA,20,20,-0.315087790184111,0.136460988076983,0.369406264263322,0.197832125947007,0.85,0.928568610052949
"S3_Mixture_misspecified",50,"Best_AIC","hazard",150,20,20,0.000290126563051566,3.32188447651057e-07,0.000576357916273436,0.000510948576115714,0.85,0.00195828164104145
"S3_Mixture_misspecified",50,"Best_AIC","hazard",200,20,20,-2.35695238331111e-05,3.59986451822568e-07,0.000599988709745915,0.000615100273698566,0.9,0.00201853824324021
"S3_Mixture_misspecified",50,"Best_AIC","mean",NA,20,20,19.2786378506508,6135.04288983995,78.3265146029105,77.889104788143,0.85,305.192147083573
"S3_Mixture_misspecified",50,"Best_AIC","probability",NA,20,20,-0.303195679557128,0.13666104378303,0.369676945160271,0.216997268187805,0.85,0.851746101036915
"S3_Mixture_misspecified",100,"AIC_MA","hazard",150,20,20,0.0003398006344084,2.15051898472303e-07,0.000463736884959891,0.000323772869264132,0.9,0.0016783058544123
"S3_Mixture_misspecified",100,"AIC_MA","hazard",200,20,20,-6.08251917769958e-05,1.60298511029795e-07,0.000400372964908715,0.000406005972311643,1,0.00175147014542901
"S3_Mixture_misspecified",100,"AIC_MA","mean",NA,20,20,42.8047414645233,5856.40633883434,76.5271607916715,65.0842405291194,0.8,276.202845051664
"S3_Mixture_misspecified",100,"AIC_MA","probability",NA,20,20,-0.281703271254713,0.0905015800757065,0.300834805293049,0.108311670363573,0.7,0.710626267176278
"S3_Mixture_misspecified",100,"Best_AIC","hazard",150,20,20,0.000368404182111301,2.16353072689474e-07,0.000465137692183157,0.000291333470157621,0.9,0.00159392925333544
"S3_Mixture_misspecified",100,"Best_AIC","hazard",200,20,20,-1.55281907049521e-05,1.3808993287969e-07,0.000371604538292645,0.000380925200798378,1,0.00162431074508398
"S3_Mixture_misspecified",100,"Best_AIC","mean",NA,20,20,49.8591981456869,8271.54855097943,90.9480541352009,78.039186588659,0.7,262.662931660375
"S3_Mixture_misspecified",100,"Best_AIC","probability",NA,20,20,-0.27305221487972,0.08392177690627,0.289692555835096,0.0992830343038432,0.65,0.678082533823853
