"scenario","n","method","quantity","time","median_estimate","median_error","mae","median_abs_error","max_abs_error"
"S2_Weibull_challenging",20,"Best_AIC","hazard",150,0.00276363652801738,-0.000109033769787427,0.000587122893016661,0.000453302823770366,0.00211866614559527
"S2_Weibull_challenging",20,"Best_AIC","hazard",200,0.00254993556559392,-8.52072838054116e-05,0.000546482646482868,0.000466022285602808,0.00220172113419958
"S2_Weibull_challenging",20,"Best_AIC","mean",NA,404.038271323773,24.2912195065882,112.88587039878,67.5745435296981,412.81241670254
"S2_Weibull_challenging",20,"Best_AIC","probability",NA,0.495584462408469,-0.139946900069504,0.353566930216462,0.307448435565064,1.12390164278624
"S2_Weibull_challenging",20,"Generating","hazard",150,0.00274111896050346,-0.00013155133730134,0.000489757732103511,0.00041956298742578,0.00132499979999953
"S2_Weibull_challenging",20,"Generating","hazard",200,0.00249781302210302,-0.00013732982729631,0.000449663411057767,0.000294036678717033,0.0016059021091405
"S2_Weibull_challenging",20,"Generating","mean",NA,403.866476100402,24.1194242832166,106.627539726999,66.9400244785345,360.889171980089
"S2_Weibull_challenging",20,"Generating","probability",NA,0.502051911353971,-0.133479451124001,0.322273120593755,0.274186828870814,1.09610809106646
"S2_Weibull_challenging",50,"AIC_MA","hazard",150,0.00293134779176665,5.86774939618495e-05,0.000359455814817469,0.000289912941872894,0.00137985846791519
"S2_Weibull_challenging",50,"AIC_MA","hazard",200,0.00269039505691341,5.52522075140782e-05,0.000328092843521087,0.000270520811354709,0.00145099601333311
"S2_Weibull_challenging",50,"AIC_MA","mean",NA,416.736456616046,36.9894047988609,111.878300084528,60.7509630442837,486.19315178222
"S2_Weibull_challenging",50,"AIC_MA","probability",NA,0.581695551877139,-0.053835810600833,0.211496781446908,0.134648003661779,0.713561850193154
"S2_Weibull_challenging",50,"Best_AIC","hazard",150,0.00291651189051325,4.38415927084483e-05,0.00034576057538958,0.000256319452339212,0.00129048845623807
"S2_Weibull_challenging",50,"Best_AIC","hazard",200,0.00269368930173305,5.85464523337174e-05,0.000320206269754293,0.000203265521617793,0.00135619725954331
"S2_Weibull_challenging",50,"Best_AIC","mean",NA,377.46164630679,-2.28540551039504,59.6203939422864,48.5585627934986,236.083618458504
"S2_Weibull_challenging",50,"Best_AIC","probability",NA,0.585539568540944,-0.0499917939370284,0.202476781177746,0.121981692609157,0.719925575787274
"S2_Weibull_challenging",50,"Generating","hazard",150,0.00290118672155317,2.85164237483699e-05,0.000329316289966665,0.000257555687559673,0.00143387403322503
"S2_Weibull_challenging",50,"Generating","hazard",200,0.00267068350228645,3.55406528871202e-05,0.000305494112322333,0.000221220095453658,0.00144727605198461
"S2_Weibull_challenging",50,"Generating","mean",NA,373.631831383037,-6.11522043414806,58.1510440676335,45.6424877882617,247.575407279116
"S2_Weibull_challenging",50,"Generating","probability",NA,0.584993344543585,-0.050538017934387,0.202466656378169,0.156782228744339,0.683897490003222
"S2_Weibull_challenging",100,"AIC_MA","hazard",150,0.00272255180135801,-0.000150118496446795,0.000239442869745439,0.00019503248040251,0.000616622344348885
"S2_Weibull_challenging",100,"AIC_MA","hazard",200,0.0025018491286663,-0.000133293720733031,0.000211835397051457,0.000167703265286724,0.000573486473028571
"S2_Weibull_challenging",100,"AIC_MA","mean",NA,410.812325749238,31.0652739320534,63.3501225942103,39.0009882414963,443.150049127417
"S2_Weibull_challenging",100,"AIC_MA","probability",NA,0.46273772514776,-0.172793637330213,0.194547699927282,0.196896072626824,0.387759986228913
"S2_Weibull_challenging",100,"Best_AIC","hazard",150,0.00271840607354535,-0.000154264224259457,0.000233458476107055,0.000187370165457995,0.000562639543742542
"S2_Weibull_challenging",100,"Best_AIC","hazard",200,0.00255428947766743,-8.08533717318947e-05,0.000206205184063211,0.000193018011215919,0.00050160937868205
"S2_Weibull_challenging",100,"Best_AIC","mean",NA,391.426265050097,11.6792132329124,43.4632817582271,35.696501439532,133.740569033898
"S2_Weibull_challenging",100,"Best_AIC","probability",NA,0.474265272735732,-0.16126608974224,0.183888134129011,0.203420149352989,0.379547963682862
"S2_Weibull_challenging",100,"Generating","hazard",150,0.00281196574688699,-6.07045509178185e-05,0.000212334070393778,0.000177368701182638,0.000541495292103888
